conference,start_date,end_date,city,country,type,title,main_author,co-authors
International Biotech Innovation Days 2023 (IBID),17.10.2023,19.10.2023,Senftenberg,Germany,talk,Imputomics: comprehensive R package for missing data imputation in metabolomics data,Jarosław Chilimoniuk,"Krystyna Grzesiak, Jakub Kała, Dominik Nowakowski, Adam Krętowski, Rafał Kolenda, Michał Ciborowski, Michał Burdukiewicz"
2nd ML4NGP Meeting on Machine Learning and Non-Globular Proteins 2024,14.05.2024,17.05.2024,Thessaloniki,Greece,poster,imputomics 2.0: comprehensive R package for missing data imputation in proteomics data,Jarosław Chilimoniuk,"Krystyna Grzesiak, Jakub Kała, Dominik Nowakowski, Adam Krętowski, Rafał Kolenda, Michał Ciborowski, Michał Burdukiewicz"
